The Script	pop rock	irish	rock	pop	acoustic	alternative	indie	The Script	alternative rock	male vocalists	
Of Monsters and Men	indie	folk	indie pop	icelandic	iceland	indie folk	alternative	indie rock	pop	female vocalists	
Phoenix	indie	french	indie pop	electronic	rock	indie rock	alternative	pop	alternative rock	Romanian	
Banks	electronic	downtempo	female vocalists	pop	indie	indie pop	american	r&b	alternative	female	
Fleetwood Mac	classic rock	rock	70s	blues	pop	blues rock	soft rock	80s	female vocalists	british	
Interpol	indie	indie rock	post-punk	alternative	rock	alternative rock	Post-punk revival	interpol	american	new york	
Marina & the Diamonds	female vocalists	indie pop	indie	british	electronic	pop	alternative	singer-songwriter	electropop	welsh	
Black Sabbath	heavy metal	hard rock	classic rock	metal	rock	doom metal	british	70s	Stoner Rock	Black Sabbath	
Bonobo	downtempo	electronic	chillout	trip-hop	ninja tune	electronica	lounge	ambient	downbeat	nu jazz	
Bruno Mars	pop	rnb	male vocalists	r&b	slow jams	Bruno Mars	soul	american	singer-songwriter	reggae	
Caribou	electronic	experimental	indie	Canadian	electronica	indietronica	psychedelic	idm	dream pop	canada	
José González	acoustic	singer-songwriter	indie	folk	swedish	chillout	Mellow	guitar	alternative	indie folk	
R.E.M.	rock	alternative	alternative rock	indie	pop	classic rock	indie rock	80s	american	90s	
Madonna	pop	dance	female vocalists	80s	electronic	Madonna	90s	american	female	rock	
Britney Spears	pop	dance	female vocalists	Britney Spears	legend	american	sexy	female	90s	electronic	
Johnny Cash	country	folk	singer-songwriter	classic rock	rock	Alt-country	americana	blues	Johnny Cash	american	
Beck	alternative	indie	rock	singer-songwriter	indie rock	alternative rock	folk	electronic	experimental	beck	
John Mayer	singer-songwriter	acoustic	rock	pop	Acoustic Rock	blues	alternative	john mayer	male vocalists	guitar	
Pixies	alternative	indie	rock	alternative rock	indie rock	Grunge	punk	80s	post-punk	american	
Moby	electronic	ambient	chillout	alternative	electronica	dance	pop	techno	rock	Moby	
Blur	britpop	rock	indie	alternative	british	alternative rock	indie rock	90s	pop	blur	
Kasabian	indie	indie rock	british	alternative	rock	alternative rock	britpop	electronic	kasabian	UK	
Magic!	reggae	Canadian	pop	rock	soul	male vocalists	reggae fusion	band	canada	america	
Aphex Twin	electronic	idm	ambient	experimental	electronica	techno	Warp	electro	british	Drum and bass	
Nickelback	rock	alternative rock	hard rock	alternative	Canadian	post-grunge	nickelback	Grunge	metal	pop rock	
Iron Maiden	heavy metal	metal	NWOBHM	hard rock	rock	british	Power metal	classic rock	New Wave of British Heavy Metal	Iron Maiden	
